cluster_id,severity,recommended_review_action,severity_reasons,asin,fnsku,seller_sku,source_tables_seen,rows_seen_total,product_ids,vendor_hint,product_titles,product_skus,product_upcs,product_asins,product_fnskus,product_mfg_part_numbers,product_brands,product_vendors,product_statuses,product_deleted_at,product_merged_into_ids,product_store_ids,n_distinct_titles,n_distinct_skus,n_distinct_asins,n_distinct_fnskus,n_distinct_upcs,any_merged,any_deleted,any_cross_store,any_missing,merged_into_inside_cluster,likely_same_product_hint,likely_same_product_reasons,title_similarity_max,review_notes_blank
e6af11ceae77,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B0027ACQ1M,X003WIPIP5,2024NOV08-B0027ACQ1M,amazon_amazon_fulfilled_inventory,1,"984b87c2-1e9f-4533-82b3-7c2b8d8b818e,b3480d6b-5946-4470-a1c1-1c36b6dabbc0,dcac2541-b3d2-44cd-9acf-cc8ca5a95361,deabfee2-e33f-4fce-b221-cfe7718c98d0",,Monin Peach Puree Syrup; 1 Liter; 4 Per Case | Monin Purée Peach 4/1 Liter | Monin Purée Peach 4/1 Liter | Monin Purée Peach 4/1 Liter,B0027ACQ1M-VEN-D | LN-MQ0P-82DH | LN-MQ0P-82DH-ven-04 | AAA-M-RP036F-B0027ACQ1M,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B0027ACQ1M | B0027ACQ1M | B0027ACQ1M | B0027ACQ1M, | X001Z2430V | X0037SBGGP | ,DOT-502528 | M-RP036F | M-RP036F | M-RP036F,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
f9040b5c9e69,critical,escalate_immediate_dedupe,four_plus_pids,B0099CNDTA,X003O31U9B,04-2025-PK1-B0099CNDTA,amazon_manage_fba_inventory,1,"009f5348-91ad-4c59-83a3-9e7bb3d980e9,4ad8a0f0-6bc0-4df4-958c-ab2d62f91a07,976abf78-377f-4414-ae3f-afa4877571a3,c70df5f2-7abf-44cd-b00f-bc08c9d73a05",Cadet Gourmet,"Cadet Bully Stick Variety 9""-12"" 12-Count, 2-pack | Cadet Gourmet Bull Sticks 12 Pack, 21 oz (949145) | Cadet Gourmet Bull Sticks 12 Pack, 21 oz (949145) | Cadet Gourmet Bull Sticks 12 Pack, 21 oz (949145)",2R-I0P7-QBPC | AAA-949145-B0099CNDTA | 04-2025-pk1-B0099CNDTA | 08-25-PK1-B0099CNDTA,768303704406 | 768303008801 | 768303008801 | 768303008801,B0099CNDTA | B0099CNDTA | B0099CNDTA | B0099CNDTA,B0099CNDTA |  |  | ,COSTCO-0066 | COSTCO-0068 | COSTCO-0068 | COSTCO-0068,Cadet | Cadet | Cadet | Cadet,Costco Database | Costco Database | Costco Database | Costco Database,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,1,2,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
07634148e555,high,manual_dedupe_required,"three_pids,no_title_evidence",B000HKMO0M,X002K7HNM5,MONIN-POMEGRANATE-7-12,amazon_amazon_fulfilled_inventory,1,"28d57525-bdd8-44b5-b004-eb05ec08391b,b875a1d6-3e0e-4b0a-9f89-e2cbdc3b7728,c2f6ab9b-6ef0-4a9a-856b-62fc0b97637c",,Monin Syrup Pomegranate 4/1 Liter | Monin Syrup Pomegranate 4/1 Liter | Monin Pomegranate Flavor Syrup; 1 Liter; 4 Per Case,monin-pomegranate-7-12 | monin-pomegranate-7-12-ven-04 | B000HKMO0M-VEN-D,10738300000000 | 10738300000000 | 10738300000000,B000HKMO0M | B000HKMO0M | B000HKMO0M,X002K7HNM5 | X0037SDIRP | ,M-FR075F | M-FR075F | DOT-447263,Monin | Monin | Monin,dot | dot | dot,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,3,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
230da2a60b6e,high,manual_dedupe_required,"three_pids,no_title_evidence",B0027ACP7W,X001Z1VHDD,7A-YZWQ-6F0O,amazon_amazon_fulfilled_inventory,1,"1198d5b4-a62a-4dfd-8a98-b2d75f73c4df,e50876ca-d3cf-4773-9591-3f8616890792,e9db9847-2c47-4113-8e7d-e7f2bccde9a2",,Monin Purée Mango 4/1 Liter | Monin Purée Mango 4/1 Liter | Monin Mango Puree; 1 Liter; 4 Per Case,7A-YZWQ-6F0O | 7A-YZWQ-6F0O-ven-04 | B0027ACP7W-VEN-D,10738300000000 | 10738300000000 | 10738300000000,B0027ACP7W | B0027ACP7W | B0027ACP7W,X001Z1VHDD | X0037SDIHP | ,M-RP032F | M-RP032F | DOT-502532,Monin | Monin | Monin,dot | dot | dot,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,3,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
26b31484f7c3,high,manual_dedupe_required,"three_pids,no_title_evidence",B074S97F52,X003RJSVV7,AAA-7910092840-B074S97F52,amazon_amazon_fulfilled_inventory,1,"5cf4707e-ebab-4c7c-b5e1-345fce3440f1,76f664a0-f5ee-4fb0-aea4-1169cd2f3f8a,f1a48a34-4ef4-4b4d-83c5-94283f7f8a09",,Gravy Train Beefy Classic Dry Dog Food 4/3.5 lb | Gravy Train Beefy Classic Dry Dog Food 4/3.5 lb | Gravy Train Dog Food Beefy Classic 4/3.5 lb,smu-7910092840-ven1 | AAA-7910092840-B074S97F52 | 06-8924-ven,079100518579 | 079100518579 | 079100928408,B074S97F52 | B074S97F52 | B074S97F52,X003DZ5WDZ |  | X0031BFML3,7910092840 | 7910092840 | DOT-7910092840,Gravy Train | Gravy Train | Gravy Train,smucker | smucker | dot,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,3,1,2,2,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
2b956979be24,high,manual_dedupe_required,three_pids,B00QVVXDAG,X002TLWEM1,RI-8YIM-PSTN,amazon_fba_inventory,1,"04010b6c-708c-4dbc-808d-9d64826b6047,4138ba90-4616-490b-8961-faec9799d625,95c71a84-1a45-43c2-8e5b-f46024e9122d",Penn,"Penn Championship XD, RD, XDHA (per can) | Penn Champ Extra Duty | Penn Championship - Extra Duty Felt Pressurized Tennis Balls - (2 Cans, 6 Balls)","F5-QAYJ-X2NK | CH-I9DP-ZWG9 | amzn.gr.""F5-QAYJ-X2NK""-qp2KC7ie3MmiXM-GD",072489010016 |  | ,B00QVVXDAG | B00QVVXDAG | B00QVVXDAG,X002TLWEM1 | X004SPR7J1 | ,672381 | 521001 | COSTCO-0537_2pack,Penn | Penn | Penn,Costco Database | Penn | Costco Database,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,3,3,1,2,1,false,false,false,false,false,uncertain,insufficient_evidence,0.000,
2f5866a95233,high,manual_dedupe_required,"three_pids,no_title_evidence",B07GBR8NSF,X002NEV083,MW-1645-C3NC,amazon_amazon_fulfilled_inventory,1,"3a66ecb0-6019-4034-87f3-c259cac0e017,532bc3d0-c695-45ac-861a-99cd5a2e0bc0,c73fc411-11af-47f8-97ed-b9a07b14ecaf",,"5 Hour Energy Grape Extra Strength 18/12 Count | 5-hour ENERGY Shot, Extra Strength Grape, 1.93 Ounce, 24 Count | 5 HOUR ENERGY 1.93 OZ EXTRA GRAPE",728127-display | B07GBR8NSF-01-2024 | B07GBR8NSF-VEN, |  | 719410720124,B07GBR8NSF | B07GBR8NSF | B07GBR8NSF,X0038HD5XH |  | X002YEH9MX,728127 | COSTCO-8200140_24pack | 353004,5-hour ENERGY | 5-hour ENERGY | 5-hour ENERGY,Living Essential 5 Hour | Costco Database | 7 Stars Brand,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,3,3,1,2,1,false,false,false,false,false,uncertain,"insufficient_evidence,title_similarity_0.08",0.083,
3248050d8f66,high,manual_dedupe_required,"three_pids,no_title_evidence",B000T6AHW6,X0037S1FPH,RO-X0RZ-Y0UG-VEN-04,amazon_amazon_fulfilled_inventory,1,"598d0820-fd11-4bb4-9bf2-442fce0f9da6,8ccbae3b-5ce2-4453-9f47-f9d0cc6ab053,99970e74-5284-4608-8902-2110d0cc2238",,Monin Syrup Lavender 12/750 ml | Monin Syrup Lavender 12/750 ml | Monin Lavender Syrup; 750 Milileter; 1 Per Box; 12 Per Case,RO-X0RZ-Y0UG-ven-04 | AAA-M-AR061A-B000T6AHW6 | B000T6AHW6-VEN-D,10738300000000 | 10738300000000 | 10738300000000,B000T6AHW6 | B000T6AHW6 | B000T6AHW6,X0037S1FPH |  | ,M-AR061A | M-AR061A | DOT-472089,Monin | Monin | Monin,dot | dot | dot,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,3,1,1,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
50bc6002e325,high,manual_dedupe_required,three_pids,B008RH68CC,X003VTCXF3,B008RH68CC-VEN,amazon_manage_fba_inventory,1,"129756af-27b1-416f-bec1-bbe2430f09a0,a0d8ccc1-a881-463c-9a76-de0abe5ea948,cbf87a19-f5cb-4f3e-b0de-433cfb9b0f87",Weiman Jewelry,"Silver Wipes Polish & Tarnish Remover, 20 count | Purpose Built - Silver Wipes | Purpose Built - Silver Wipes",B008RH68CC-VEN | B008RH68CC-Pbuilt-FBA | B008RH68CC-Pbuilt-FBM,041598000485 | 041598000485 | 041598000485,B008RH68CC | B008RH68CC | B008RH68CC,X003VTCXF3 | X004TLSEBT | ,725558 | Pbuilt-48A | Pbuilt-48A,Weiman | Weiman | Weiman,dot | Purposebuilt | Purposebuilt,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,3,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
5c63bd002ae1,high,manual_dedupe_required,"three_pids,no_title_evidence",B00QVVXDAG,X003RLS0BB,AAA-521001-B00QVVXDAG,amazon_amazon_fulfilled_inventory,1,"04010b6c-708c-4dbc-808d-9d64826b6047,4138ba90-4616-490b-8961-faec9799d625,95c71a84-1a45-43c2-8e5b-f46024e9122d",,"Penn Championship XD, RD, XDHA (per can) | Penn Champ Extra Duty | Penn Championship - Extra Duty Felt Pressurized Tennis Balls - (2 Cans, 6 Balls)","F5-QAYJ-X2NK | CH-I9DP-ZWG9 | amzn.gr.""F5-QAYJ-X2NK""-qp2KC7ie3MmiXM-GD",072489010016 |  | ,B00QVVXDAG | B00QVVXDAG | B00QVVXDAG,X002TLWEM1 | X004SPR7J1 | ,672381 | 521001 | COSTCO-0537_2pack,Penn | Penn | Penn,Costco Database | Penn | Costco Database,active: | active: | active:, |  | , |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,3,3,1,2,1,false,false,false,false,false,uncertain,insufficient_evidence,0.000,
